,Unnamed: 0,id,teacher_id,teacher_prefix,school_state,project_submitted_datetime,project_grade_category,project_subject_categories,project_subject_subcategories,project_title,project_essay_1,project_essay_2,project_essay_3,project_essay_4,project_resource_summary,teacher_number_of_previously_posted_projects,project_is_approved
174,137735,p139887,9fd0ee67eb516b240258a0dea1218f28,Mrs.,MI,2017-01-25 09:16:37,Grades PreK-2,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Wobble While You Work,I am a Second grade teacher of 17 amazing students. I have 9 boys and 8 girls as a Title I class. I have three students who often need to wonder the room for short breaks to help maintain focused. \r\n\r\nOur school is a low income school where many students live in poverty. We are a large rural school with approximately 600 students K-4. \r\n\r\nWe are wanting a place to call home for our small group instruction. We recently received a very generous donation of a small group table and would like alternate seating for our group time.,"My students need to have an alternative seating to help them maintain focus while moving around. These wobble chairs provide students a safe was to stay seated and still be able to move. Unlike traditional school chairs that tip easily if not left flat on the floor, these wobble chairs are designed to help students attend to a task without limiting them to remain still. \r\n\r\nThe Wobble Chair’s base is slightly rounded on the bottom, allowing for a gentle rocking movement.  This provides subtle input to the vestibule system, making it an awesome sensory strategy to promote engagement and attention in the classroom.",,,My students need alternative seating options! These chairs will allow my students to safely move in their seats while working. It will help some to maintain focus while still being able to move.,1,1
175,76935,p118695,6111f00a1c63c3ffc52489e7dd97b22d,Mrs.,ME,2016-08-03 12:26:32,Grades 3-5,Literacy & Language,"Literacy, Literature & Writing",Reading Together is Fun!!!,"My students are a mystery to me...I am relocating to a school in a district with diverse needs.  The community is low income and less educated than others in the state.  The student to teacher ratio is eleven to one and the school is considered large with 365 students.  Over 65% of the students receive free or reduced lunch.  By talking to people in the community, I am told students are hard working and the staff is committed to the students and their diverse needs.","The organization of reading groups is crucial to advancing students from one level to the next.  Students need a way to stay organized and not waste time looking for their books and response journals.  By using colored bins with individual names, students can quickly go to their reading groups and have their materials all in one place.  My students will be responsible for the organization of the materials in their book bins, and always know where to find their books and reading supplies. The effect of these bins will be an increase in the actual time students will read each day.\r\n",,,My students need book and binder bins for their reading groups.,2,1
176,56998,p200358,02c6e4d311ec2902505b925c60da168e,Mrs.,OK,2016-05-15 21:17:34,Grades PreK-2,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts",The magic of STEAM in prek,"My students are natural problem solvers. Helping my young students channel those \""wild and crazy\"" ideas is so much fun but it is also a challenge.  These materials will walk my little learners/thinkers through a problem-solving process thinking.","My students are thinkers, they enjoy using their hands to learn. They are loud, discoverers, dreamers, creative, they are curious. They are learners. I teach in a low-income school district which means many of my families work very hard to provide for their families with many of them working more than one job. My students are amazing. They come to school every day eager to learn and ready to explore whatever experiences I have waiting for them. By using art to explore STEM they are becoming more than scientists. They are becoming artists who engineer and solve problems.","My students will use the STEAM kit to explore STEM with Art infused. They will use the journals to document and create. By providing Geostix, Bristle Builders, blocks, and other different materials to build, I am giving my students the ability to become sculptors who work with science and math.","Your donation will help my students appreciate not only literature but the arts. By integrating art into my STEAM area, I am fostering art and showing its depth in science, math, engineering, art and technology. This project allows me to bridge Science and Engineering directly into our learning.\r\nIt will help my students problem solve and be ready for the world that awaits them. Most importantly though, it makes learning fun!",My students need STEAM centers to explore problems and discover solutions. While building and creating my students will increase early engineering and literacy skills.,25,1
177,19054,p001873,62d12445da0878b3fdc2cf386884de0d,Mrs.,CA,2017-02-06 18:39:27,Grades 3-5,Literacy & Language,"Literacy, Literature & Writing","My Education, My Seating Choice! Flexible Seating in the Classroom.","I have a class full of 28 diverse, fun-loving students. They are a unique bunch, each with their own personality and learning style(s), who face daily challenges that go beyond the context of a book. They come to school energetic and eager to be involved in the classroom, but external factors including their socio-economical environment and distractions of their younger generation are definitely present and can manifest throughout the day. However, they are a group of students that promise in reaching a high level of success.","I have a very energetic class that loves to move around. Throughout the day I see them squirm in their seat and know they feel uncomfortable having to sit in a chair that doesn't meet their needs. I implemented a couple of seating arrangements in my classroom that allow the students to be in a different area of the classroom other than their student school chair. First, I turned my teacher office into a student library. The library only allows two students to sit in there at a time. Therefore, each student is able to sit in there only once a week to allow fairness. I also placed pictures of owls around the classroom and students can sit on the floor up against the owl. Again there are only a few of these and I have 28 students who would love to use them daily. As I see them working in the classroom at these few spots, they have shown improvement in their attention and focus in learning. \r\nMy students are the ones who inspired me to create an environment that includes flexible seating. \r\nMy students need these choices to allow them to be successful in their education. When students are able to make a choice, it increases their engagement whether it be independently, with a partner, or in a group. They will feel a sense of ownership in their learning and they can strive to do their best. Flexible seating supports both physical and cognitive strength.",,,My students need the choice of where they do their best work...they need flexible seating!,0,0
178,172198,p030869,3df80370ac1b6e9bb50e2463643d3324,Ms.,CA,2016-07-12 21:11:37,Grades 9-12,"History & Civics, Literacy & Language","History & Geography, Literacy",Globe Gazing! My Students Want to See the World!,"My students are scholars, athletes, musicians, chess players, manga and anime fanatics, cheerleaders, artists, runners, and volunteers. They participate in all kinds of clubs and activities. They are funny, and quirky, and curious. Some are learning English. Many are looking forward to college and careers. They take great pride in our school. \r\n\r\nI try to create a welcoming environment for them filled with materials/resources that meet the needs of as many students as possible. As a high school librarian I see avid readers, non-readers, and every type of reader in between. Wherever my students begin, my goal is to help them grow and expand as readers, writers, thinkers, and dreamers. My school is a Title One school with students qualifying for free meals.Many of my students do not have a quiet, comfortable place to read at home. While most of my students can decode words on a page, many have not developed a love of or passion for reading. They have not found that special book, that \""home run\"" book that changes the course of their reading lives. \r\n\r\n My students like the coffee house vibe we are trying to create in our library; an atmosphere of joy and inquiry prevails.","Students come to the library to do research on cities, countries, continents, regions of the world. They often have little if any idea of geography, distances and even how close places are in relation to each other. Making the leap from where a place is, to its role in our world is often quite challenging for students. Globes make a great supplement to reading and atlases. \r\n\r\nThere is something especially engaging and educational about a globe-it draws students in, and helps them make sense of location, distance, topography, politics, current issues, cultures.\r\n\r\nStudents will be able to use these globes in the library both individually, as they do research, and in small groups. The inflatable globes are especially useful for the latter. Globes are  appealing to visual and kinesthetic learners who like a hands-on learning experience. Struggling students will have one more way to access the material they are trying to learn. \r\n\r\nMany students will enjoy spinning the globes, dreaming about far off lands, future adventures, junior years abroad. These will be inspirational as well as educational.",,,"My students need a variety of globes-16\"" land cover, and 12\"" political to help them understand geography, history, politics and current events.",12,1
179,169672,p060240,1f25fe1f929947265b874a499e1d149a,Ms.,GA,2017-03-22 20:22:37,Grades 3-5,"Literacy & Language, Math & Science","Literacy, Mathematics",Learning with Technology,"My students are creative, energetic, and eager to learn. They are a very diverse group in their backgrounds, home life, and in their learning styles and abilities. \r\n\r\nMany of my students live in poverty and have to face the challenges that come with that. I am not able to control their home lives, but I can make sure that school is a safe and fun place for them to come to learn both academic and social skills. \r\n\r\nMy students respond well to positive feedback. Focusing on the positive in each student, and focusing on their strengths, gives them the belief that they can succeed. My goal is to inspire a lifetime joy of learning.","Helping students learn at their individual level is very important to educators but can be challenging when teaching a class of diverse learners. These tablets, covers and screen savers will help me do just that. \r\n\r\nComputer games are very engaging to students and they will motivate my students to complete activities where they won't even realize they are learning. I plan to use them in all subject areas: reading, math, science, and social studies. Small groups of students will use them at the same time but the activities may be different. There are many quality apps for students that find their starting level, meet them there and help them progress at their own speed. I know that my students' will benefit from using these tablets.",,,My students need computer tablets so they can learn with technology and receive immediate feedback on their progress.,1,1
180,173026,p193503,28df77bdf4f1ba1f94b2024b845cc4c4,Mrs.,LA,2016-08-26 09:38:52,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics",Pitter  iPadder,"My class is comprised of a special, select group of students that scored the lowest on the Kindergarten entrance test, the Developing Skills Checklist.  We call our class Targeted Kindergarten and they are amazing and some of the hardest working kids I have ever had the privilege to teach.  \r\nThese kids have had no previous exposure to school and are a little behind their peers.  In addition, they all come from economically disadvantaged homes.  My mission is to do whatever necessary to have these little people leave my class on a leveled field with the rest of their peers.","In the past, Donors Choose donors have blessed my class with 3 iPads.  They are so popular in our room.  My wish is that we had 3 more so that more students can reach their goals.  \r\nA terrible flood has forced some of our students from their homes and we have students entering our school from other parts of our parish.  We have an abundance of students and will more than likely add another section of kindergarten.  We are welcoming these little people and trying to meet all of their needs.\r\nWith an additional 3 iPads with headphones, I can download the free apps that our new curriculum is suggesting and teach my targeted children how to read and be prepared for first grade.",,,My students need iPads to help with the targeted deficiencies such as letter sounds and pre-reading skills.,3,1
181,162942,p178934,bf828ac346803ddbc3c0acc369f2b038,Ms.,ID,2017-01-26 14:59:48,Grades 3-5,Math & Science,Applied Sciences,Teachers Love Video Games Too!,"I teach at a fantastic elementary school, and my students are amazing.  They are such hard workers and approach the world around them with such curiosity and intensity.  My students are all unique individuals who all want the opportunity to thrive in today’s fast paced world.  They come from many backgrounds, walks of life, and face many economic barriers.  Seventy percent of my school's student body qualifies for free or reduced price lunch.  Simply stated, that means that many of my students come from households at our near the poverty line.  Poverty generates instability and fear and simultaneously robs students of many enriching experiences their more stable, wealthier counterparts are able to receive. \r\n     \r\nMy students are bold eager learners.  My students are dedicated.  My students are important!  There is a quote by the great education reformer Horace Mann that truly sums up the importance of education.  “Education…beyond all other devices of human origin, is a great equalizer of conditions of men--the balance wheel of the social machinery…It does better than to disarm the poor of their hostility towards the rich, it prevents being poor.\""",The materials we're requesting are already all the kids can talk about and they're not even here yet!  My students all rave about playing video games and are interested in gaming more than just about anything else!  I want to capitalize on their love of gaming and get kids thinking about the element of design in technology.  My kids can code and love to build already.  This would give them  another skill in their quest to master technology and how to be creative in the modern world.  Bloxels cultivate imagination and discovery through a hands on approach to designing video games.  The students use blocks and a game-board to design sets  and characters and then used tablets to watch their creations come to life.,,,"My students need Bloxels!  This is an amazing hands on activity for kids to build, collaborate, and tell stories through video game creation.",11,1
182,140691,p151970,3b2e66e8288a1d1674f961c18799f8c6,Mrs.,WY,2017-02-15 13:58:34,Grades 3-5,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Testing on Point,"Cottonwood Elementary students are amazing kids. They have high energy and  even higher learning needs.  Over 50% of our students are on an individual education plan for learning disabilities.  Since our school is a low income school, many of them do not have warm clothes for winter weather, or healthy food to eat on the weekends. \r\n\r\nThey work very hard and are highly motivated to do their best! Our students love to move and be active! We try to provide our students with as many \""magical moments\"" as possible!","Here at Cottonwood, our students need as many exposures to positivity as we can possibly muster. State Assessments are coming next month, and our students have been working so hard in class! Many of our students come from homes where school is the very LAST aspect of life on the radar.  \r\n\r\nI would LOVE to be able to provide them with a new pencil, and funky eraser as a small gift of motivation.  I want my students to know I are rooting for them. I want my students to be able to wear a sticker home to show their parents they worked hard,  stickers may seem silly, but who doesn't love a visual reminder that we have accomplished a hard task?",,,My students need these supplies to help promote a positive state assessments testing environment.,3,1
183,34199,p038002,c4502a8f41995aae888144356ec957b2,Mr.,IA,2016-09-05 17:56:08,Grades 9-12,Math & Science,Mathematics,Calculators for Kids,"My students often borrow calculators during class time, but I do not have enough to loan out during class. I am requesting money to purchase a class set of 10 at $100. A matched donation would get my students approximately 20 calculators to use while learning topics that a beyond arithmetic. \r\n\r\nMy goal in Algebra and Algebra Prep class is not to get bogged down with arithmetic deficiencies, but rather having the calculators allows them to reach higher than their elementary deficiencies otherwise would let them. \r\n\r\nThese students and their families typically can not afford to purchase the calculators themselves.\r\n\r\n","My students often are not able to purchase their own calculator needed to move into a class that is beyond arithmetic. These are students who need the assistance in arithmetic to make Algebra topics reachable and reasonable.\r\n\r\nI will make the calculators available each period for any student who needs the tool. I do ask for collateral so they remember to return it, but they obviously get the collateral back after returning the calculator.\r\n\r\nI find the students are less intimidated by more advanced mathematics topics if they have the tool available to make the arithmetic a non-issue. Less stress means more learning.",,,My students need calculators to use in Algebra and Algebra prep classes.,0,1
184,63747,p132476,b2fc20d97716f96a4a2b17cb1ee61919,Ms.,TX,2016-05-24 12:51:23,Grades 9-12,Math & Science,Mathematics,Building Math Life Skills for the Future!,"I have two classes of special needs kids. One class is high functioning and one is lower functioning. A handful of my students live in group homes and need hands on life skills taught to them.  These kids often get picked on and called dumb in their homes by their peers because they are in a developmental class. Often I play the role of teacher and parent in the learning environment that is my classroom. My students love hands on teacher interactions and small group lessons. We specialize in students with aggressive behavior. My students come from across the school district that can not be in a regular classroom. I love my kids, who are also my students and want to give them every learning possibility out there.","Students will learn through hands on experience with these materials, in small group lessons and one on one teacher activities. My kids learn through doing with their hands and not just their eyes. This allows for more time understanding a skill and practice mastering it, instead of losing them. A great example are the small money pouches! The kids will be able to make purchases, use the correct amount of money and learn how much money they should be getting back! These hands on manipulatives  will assist my kids on staying focused on the lesson and not get distracted. These materials already have a 'home' in my classroom for next year. It will provide for a great structured environment during the school day.",,,My students need hands on math manipulatives to assist in learning life skills.,0,1
185,106599,p217373,40e67df3b20e72bbdabb20ff829b1a96,Mrs.,CA,2016-09-12 20:52:29,Grades PreK-2,Math & Science,Mathematics,"Becoming Architects, Engineers, and Builders by Age 6!","My six year old first grade students are an inquisitive group of children!  They come from many different backgrounds, family dynamics, and socio-economic classes.  Many children have parents  in the military whose parent is sometimes out on deployment.  Some of the children in my class have many advantages (books, learning games and activities) while others do not.  I would like to have ALL the children in my classroom to have equal advantages to these activities in our class.\r\n\r\nEven though they all have different backgrounds they all love to learn and work together.","Children who are six and seven learn by \""playing\"".  With these materials they will be working on problem solving, strengthening their mathematical thinking, communicating and working with partners to build and design projects.\r\n\r\nThese materials and experiences will enhance their thinking skills while working with others.  All the children will have access to these great learning activities!  Children who are hesitant to speak up in class talk up a storm when working together to make or build a project.  My second language children, special ed students, and my shy kids benefit because they are working with friends to make something  and these sometimes quiet children blossom while working together.  Learning while having fun is imperative to children this age.",,,"My students need to learn by building- this enhances problem solving, communication, mathematical reasoning, and how to work together to create something!",0,0
186,51830,p019245,249dbd12c2f74f5597edd04e169c0061,Mrs.,FL,2017-04-05 21:13:01,Grades 3-5,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Flexible Seating in Third,"I teach the third grade gifted/high achieving class. This year my students were fortunate enough to have their own laptops.  My students are constantly doing research projects and working cooperatively together in groups and pairs. They are often spread out all over the classroom, working on the floor or at the back tables.  Flexible seating would greatly benefit these students, giving them more comfort while they work. A hard, cold floor is not the ideal place for these creative little minds to work. Having lap desks, swivel chairs, pillows, beanbag chairs, etc., would be much more conducive to learning.\r\nFlexible seating is a great way to motivate and engage students in learning.  Given the option of different types of seating, students will be more motivated to learn and the seating will keep them actively engaged in their work. Keeping the students engaged and motivated will help them while they are learning the standards needed in third grade.  Flexible seating will be available all around the classroom and students will be able to choose which type of seating helps them work best.","There would be many benefits of flexible seating in my classroom.  Students grades will improve, they will be more actively engaged in learning, and they will be participating more and having meaningful conversations with each other. They will complete various research projects with their laptops while using the lap desks and working cooperatively on the pillows and beanbag chairs.\r\nStudents will have a better understanding of how they work best and will be able to stay on task longer than if they were working at their desks. Focus and productivity will increase and students will have more responsibility of choosing which work space works best for them.",,,My students need flexible seating so their focus and productivity will increase.,0,1
187,40504,p084302,5734b320ed002617ab7d37fb04e55374,Mrs.,UT,2016-09-12 19:12:40,Grades 6-8,Music & The Arts,"Performing Arts, Visual Arts",iNeeds to Support STEAM,"I have an amazing group of 6th grade students. They are excited to grow as they are becoming life-long learners. This group of students are invested in their future and believe that educational goals will aid them as they move forward. Our school is in the process of becoming a STEAM school. Integrating technology in the classroom enhances instruction, engages the students, and allows differentiation for all of the students. \r\n\r\nMy students are engaged as technology is used to support the classroom. They love to learn, and are excited as we use technology in our school. As a first year teacher, I enjoy coming to school and teaching the students I have. They are a lively, dynamic class that I have the pleasure to be with every school day. They strive to succeed and work hard to accomplish their goals in life.","With the use of an iPad in my classroom, students will have a variety of technological tools to support their learning. We will use it in numerous ways. I plan to use it for students to respond to the lessons in real time. To help manage online content for students to access for the lessons that are presented is another way I plan to use the iPad.\r\n\r\nAs a 6th grade we practice and perform a Shakespeare play. I am planning on using the iPad to record the play as we support the arts in our school community. This is an exciting activity that all students look forward to. They are sent home with a recording of their performance to share with others. I am also planning on capturing the art we create and publish it for the students and parents to enjoy. Using the iPad to help support the students publish the art projects and performances they will have, will not only improve their work, but give them a positive school experience.",,,My students need Ipad Pro to access and integrate the technology our school offers on a class wide level.,0,1
188,159496,p138906,ffc170de17f673f67f6149e9efe5388b,Ms.,NC,2016-08-25 17:24:17,Grades 6-8,Math & Science,"Environmental Science, Health & Life Science",Endless Possibilities!,My school is located in a rural community and consists of students from diverse backgrounds and academic abilities.  Science is my passion and I am thrilled to share the content with my 7th graders!  My classroom is a space students feel comfortable in asking questions and are excited to explore.    \r\n\r\nMy students LOVE to get dirty with hands-on activities and labs.  I want to take the learning experience of my students to the digital level with my project.  I want them to be able to research and create without limitations of resources.\r\n,Providing my students with iPads in the classroom will open them up to a world of science research that they have been limited.  Our current textbooks are extremely out of date so students rely solely on information presented to them as a class.  By putting resources at their finger tips they are able to explore concepts more up to date in the science world.  \r\n\r\nIn addition to extensive research the iPads will also be used to address various learning modalities.  There are applications available to provide assistance as simple as vocabulary practice to creating 3D models of cellular structures.  For these activities students will rotate in lab stations to participate in the activity appropriate for their learning needs.  I also want students to use Aurasma to practice digital skills while informing the school community of scientific content.  The possibilities are endless when providing students with the tools to explore!,,,My students need iPad minis in order to explore science at a digital level.  Students will have access to a variety of applications to investigate concepts and to meet the needs of diverse learning modalities.,0,1
189,83792,p073801,26520f72749f89362d0941c189693c55,Mrs.,IN,2017-01-09 16:41:13,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics",Building a Grade Level of Chromebooks,"I teach a wonderful group of 23 second graders. They come to school excited to start the day and ready to learn. Our school is located in a rural farming community, and the building houses kindergarten through sixth grade with four classroom at each grade level. My students come from homes whose parents work in the farming, coal mining, and health industries, just to name a few. We have a very supportive parent system and our school is growing technologically.","Adding seven Chromebooks to our classroom will be a huge asset to the students. They will allow us to have easier access to I-Ready, Accelerated Reader, Spelling City, and would make it much simpler to research various topics without leaving the classroom. They will also aide in supplementing classroom instruction. \r\nStudents will be able to utilize all Google programs to assist them in their learning and understanding of Language Arts and Math topics. Classroom instruction time will be utilized more efficiently because students will not need to leave the classroom as often for technology usage. Our grade level goal is to accumulate enough Chromebooks to support a whole classroom.",,,My students need seven HP Chromebooks to access the online components of our Reading and Math programs.,3,1
190,101775,p179724,de83d90771a192fc84ce3946157241b9,Mrs.,NC,2016-11-08 15:49:48,Grades 3-5,Math & Science,Mathematics,Seating for Active Learners,"I teach math and science to 51 third grade students each day. These students are excited to learn and love coming to school. My students enjoy hands on projects and working in groups around the classroom. We have a daily routine which requires students to work in math stations and rotate multiple times during each class period. This keeps students moving and engaged.\r\n\r\nMany of my students are active learners, which means they struggle to sit still in a traditional classroom setting for more than a few minutes at a time. They constantly want to be \""on the go\"" and moving around the classroom.","The wobble stools will help my active learners to stay engaged in group work while still being able to move. While sitting, the students will need to focus on balancing on the stool as they do their work. This will keep them from moving around and distracting others as they are engaged in various tasks. \r\n\r\nThe flexible seating option will benefit nearly every student in the class as they will want to join my math groups so that they can use the new seating option. With these stools, I hope that students will want to come to math and science class and be a part of daily groups.",,,My students need wobble stools to help them focus and stay engaged in daily lessons.,0,1
191,18717,p125563,efee6ebaf31f384384ae1caaa4e3ad73,Mrs.,MO,2017-01-29 16:35:28,Grades 3-5,Special Needs,Special Needs,Providing the Learning Environment That Kids Need,"Our school is a large elementary school that is warm and inviting. Most of our students come from a variety of different economic backgrounds with over 70% of our students receiving free or reduced-price lunches. Harvesters (a food bank) provides backpack snacks for over one hundred of our students. Many students arrive to school with little or no school supplies. \r\n\r\nMy students are excited about learning and I am commitment to do whatever it takes to ensure their talents are developed in an atmosphere of high expectations and personal support. Students at my school are responsible, respectful and always ready to learn.   \r\n\r\n","Flexible classrooms give students a choice in what kind of learning space works best for them, and help them to work collaboratively, communicate, and engage in critical thinking. The couch and table set will give students these opportunities. I want my classroom to represent the real world and seating arrangements in most classrooms are the same as they were 70 years ago. Students need seating that is confront and gives them an alternative to desk.\r\n\r\nI believe that by providing flexible, soft, and alternative seating to students, they would be able to move, release their energy, be happier, and more comfortable while doing their work.",,,My students need the couch and table set for flex seating opitions.,17,1
192,108132,p196562,4b1ce20514ed20ca7e84a98b6967cbc6,Mr.,IL,2017-01-19 11:58:15,Grades PreK-2,"Literacy & Language, Math & Science","Literacy, Mathematics",Headphones for Kiddos!,"I teach in a co-taught 2nd grade classroom in Carbondale, Illinois. I have the honor of working with 25+ students from various backgrounds and abilities. \r\nAfter visiting the homes of every student last year I became very aware that these students come from homes with single parents and very little money.  While home may not always be the most happy place, I strive to provide a place where students feel safe and are excited to learn!  Students push me to make learning more fun using music, movement, and technology.","I am so blessed to be employed in a school district that helps us with technology.  In fact, we have a plethora of iPad and Chromebook carts at our disposal.  \r\nWhile it is fun, engaging, and educational - a classroom full of sounds can become a distraction.  Students often request headphones so that they can better focus on their digital activities.  \r\nWe have seen a great deal of growth using programs like ST Math, MobyMax, and GetEPIC.  With your sponsorship we can help each student continue their progress and possibly ACHIEVE EVEN MORE with the ability to focus their work.",,,"My students need headphones to use for daily chromebook time.  During this time we allow students to practice math through MobyMax and ST Math applications.  In addition, we use the reading program \""GetEPIC\"".",1,1
193,118406,p119238,464d7761191214f4b4b2f9076ca06c91,Mrs.,FL,2016-08-22 21:47:03,Grades PreK-2,Health & Sports,"Gym & Fitness, Health & Wellness",Operation 60,"I teach a group of eager and very active first grade students whose needs range from talented and gifted to students who need intensive interventions to be successful in school. A typical day in our first grade classroom involves a lot of activity. The students are engaged in learning activities that get them moving, talking to their classmates, and asking great questions. You will not see a lot of worksheets in our classroom. My students are learning through hands-on experiences and movement.","When we asked the students to give ideas for a project, the answer was , \""Make recess longer!\"" My first graders have about 60 minutes of active play between PE and Recess. Some days the playground is too crowded so we need other options for safe recess.\r\n\r\nWe are on a mission to complete 60 minutes of physical activity each day. This \""kid-inspired\"" project is going to help our class stay healthier and active. The students have requested recess equipment, yoga dvds, yoga mats, a scale, whistles, and water cooler to help us meet our goal!  The students came up with the idea to have a fitness challenge. We are going to move our bodies at least 60 minutes daily. We will track our fitness levels using the scale each month. This grant will have allow us to have recess outside for 30 minutes and come inside for yoga.  I have seen that by doing yoga it increases my students' mental focus and encourages self-esteem and body awareness. Yoga is a great way for my students to move their bodies, feel healthy, and build strength, flexibility, and confidence.\r\n\r\nIn our classroom, movement is going to be part of our daily schedule no questions asked. \r\n\r\nWhile many schools have eliminated recess, research is showing what we have long known. Movement matters! We are requesting the recess balls, yoga mats, yoga dvd and scale to help us meet our fitness goals. Lastly, the water cooler will keep our bodies hydrated so we are able to be flexible and move our bodies the recommend 60 minutes a day.\r\n\r\n\r\n\r\n",,,"My students need recess equipment, yoga mats, scale, and a water cooler to meet our daily 60 minute fitness goals.",43,1
194,112154,p249555,071237546da5a40c97c52218ca72941d,Ms.,MO,2016-10-26 22:38:31,Grades 3-5,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",Projecting our way into the Future!,"I work in a special education room where all of my students are not on the grade level they need to be at. Each student comes from a different background. I have students who come from different levels of poverty. The majority of my students receive free/reduced lunch and a few receive the backpacks of food to take home on Fridays but despite everything, my students are always eager to learn new things. There is so much I would love to do with my students but unfortunately resources are scarce. We do the very best we can though and they are so appreciative of everything.","Our world is growing more and more advanced everyday. Our reading series offers an online source for the unit we are on each day but I do not have access to use this with my students due to the lack of technology in the classroom. If I had a projector, I could easily show my students what all Wonders online has to offer them each week when it comes to reading, spelling, grammar, and vocabulary. It would allow the students to be more advanced with technology and of course their reading, spelling, grammar, etc.\r\nMy students deserve to be able to do more than just the old fashioned pencil, paper, and book; they deserve to have technology in the classroom.",,,My students need a projector in the classroom so we can take our reading and math lessons to a whole new level of educational fun.,1,1
195,27443,p238852,bfc44677fffa66ecab8fe65df57fab21,Mrs.,TX,2017-03-31 13:49:41,Grades PreK-2,Math & Science,Mathematics,Amazing Anchor Charts,"I am blessed with 24 students who are full of joy and ready to learn. My students come from all walks of life. Some have the best of the best and some are excited to come to school for a loving hug and a hot meal. We are a Title I Campus and every student receives free breakfast everyday. Our campus also offers weekend snack bags for those kiddos who just need a little extra to make it through the weekend. \r\nEven though our classroom is so diverse there is one thing that is the same for all of these students, they are here to learn and to succeed. I believe that every student should have the same opportunity to learn no matter what kind of background they come from. Here at MES you are a student just like everyone else and we will do everything we can to support our students so each student can succeed and grow.","We are asking for a teaching easel for the front of the classroom so my students are able to participate during shared writing, mini lessons, and creating anchor charts. We are a balanced literacy campus and create anchor charts daily in at least one content area. \r\n\r\nAnchor charts are extremely important in every content area because they give the students something to refer back to and it is their authentic work and writing. \r\n\r\nShared writing a major component of balanced literacy and right now we are struggling to create these due to the lack of a good place to create these anchor charts.  My students not only use these Anchor charts to refer back to but they need that shared writing opportunity to learn writing skills. This easel would allow them to practice those skills as a whole class together instead of just practicing those skills individually. \r\n\r\n\r\n",,,My students need a teaching easel so they can create anchor charts!,2,1
196,77137,p216012,d54fe8227770f0dc4f03122ad209cf16,Mr.,FL,2016-08-22 13:12:00,Grades 9-12,"Health & Sports, Applied Learning","Gym & Fitness, Parent Involvement",Behavior and Technology (A match made in Heaven),"As a teacher in challenging socioeconomic school, our students deal with several hardships both in and out of the classroom. My goal, in dealing with these hardships, is to create new challenges, set goals, and inspire a new generation of students.  \r\n\r\nMy students are inspired, motivated, and energetic!  \r\nThey love to move, they love to play, and most importantly they love to learn.   Many of them are being raised in a one guardian household, and all the students at our school, receive free lunch based on their socioeconomic status.   These challenges may hinder most students from getting ahead in life. However, our students take these challenges in stride and aspire to not be just mediocre, but great.   From the minute I walk in the door of my classroom, to the end of the school day, I focus on giving them life skills they need to be successful. These life skills may not help with their home lives, but hopefully these life skills can give them many years of joy.  \r\n","Notebooks are a much needed necessity in my classroom.  Every day, student behaviors are graded, charted, and processed using paper.  Students also complete written tests using the same notebook paper, and I believe it is time to walk into the twenty first century.   \r\n\r\nMy plan is to implement I pad's into the classroom because of such programs as \""Class Dojo, ITALC, and Kibbitz\"", parents and students now have an understanding of where their behavior is every day.  Programs such as these help enlist the help of guardians and fellow teachers.  Each teacher and guardian can monitor, track, and see what their son or daughter/student is doing on a daily basis.  Both parties can come up with new and ingenious ideas to help the student succeed on a higher level.  Each party can also see what works and what doesn't work.  Eventually, I as the teacher, could have a variety of modifications to use with new students. These modifications will help each student preform at an optimum level.   Additionally, by having liquid crystal display (L.C.D.)  tablets, students will be able to avoid weak areas, and focus on increasing their learning!\r\n\r\nBy donating to our project, you will be helping a child's behavior, focus, and comprehension. Students will be able to concentrate on the  material at hand and not whether their materials are going to work or not. Additionally, this technology will help teachers, the guardian, and the student customize every student's educational and behavioral need.  I feel that these new tools are imperative to further benefit the students at our school.  \r\n",,,My students need new Ipad's to increase their success in behavioral and academic scores.,2,1
197,82934,p053561,4b04eb13428683cf1ba993b6160d9306,Mrs.,NC,2016-09-07 17:28:30,Grades PreK-2,Math & Science,Health & Life Science,Sitting Pretty in Science Lab!,"My students are the entirety of our school. I serve all the students at our school in the discipline of Science. My students come to me ready to learn, explore, and experiment to become critical thinkers. \r\nPart of my school is Title 1, which means they come from high poverty and may not have access to materials and resources at home. \r\nPart of my school is Magnet, which means their parents may not live close by, but have chosen to send their child here because of the opportunities and experiences they can be a part of at our school.  \r\n","At the moment, my students only have the tile floor on which to sit when they are not at their individual stations. \r\n\r\nHaving a carpet would give them a defined space to be that would  help them with focusing on the concept at hand and support them with their goal of using  proper behavior. \r\n\r\nThe carpet would also be an inviting space for my scholars to read about Science concepts and share in an informal way with their peers. \r\n\r\nAt the end of class, the carpet will be the perfect place for my scholars to gather to share what they have learned during their time in Science Lab and hear the ideas of their classmates. \r\n",,,My students need a carpet on which to sit during our mini-lesson and sharing times during Science Lab.,2,1
